query_id,query_type,question,rank,score,above_threshold,source,char_len,chunk_preview
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,1,0.5533,True,ModelT-21-30.txt,483,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,2,0.5533,True,Ford-Model-T-Man-1919.txt,483,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,3,0.5378,True,Ford-Model-T-Man-1919-ocr.pdf,511,carbonize quickly. The porcelain and other parts should finally be washed in gasoline and wiped dry with a cloth. oe ~ . _—_   [Page 15] THE FORD ENGI
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,4,0.5226,True,ModelT-11-20-ocr.pdf,511,carbonize quickly. The porcelain and other parts should finally be washed in gasoline and wiped dry with a cloth. oe ~ . _—_   [Page 5] THE FORD ENGIN
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,5,0.5072,True,ModelT-11-20.txt,483,"re should be exercised not to scrape off the glazed surface of the porcelain, | otlierwise it will be apt to carbonize quickly. The porcelain and othe"
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,6,0.5072,True,Ford-Model-T-Man-1919.txt,483,"re should be exercised not to scrape off the glazed surface of the porcelain, | otlierwise it will be apt to carbonize quickly. The porcelain and othe"
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,7,0.5004,True,ModelT-21-30-ocr.pdf,319,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,8,0.5004,True,Ford-Model-T-Man-1919-ocr.pdf,319,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,9,0.4906,True,ModelT-51-60-ocr.pdf,504,". Spark plugs dirty. 4. Cbdil vibrator improperly adjusted. | S Air leak in intake manifold. 6. Weak exhaust valve spring. , 7. Too great clearance be"
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,10,0.4906,True,Ford-Model-T-Man-1919-ocr.pdf,504,". Spark plugs dirty. 4. Cbdil vibrator improperly adjusted. | S Air leak in intake manifold. 6. Weak exhaust valve spring. , 7. Too great clearance be"
Q02,procedural,How do I fix a slipping transmission band?,1,0.6008,True,ModelT-31-40.txt,367,ise if they are dropped into the transmission case it is almost impossible to recover them  ‘ée  Bands adjusted? Answer No. TH  The slow.speed band.ma
